date,tavg,tmin,tmax,prcp,temp_range,is_rainy,is_hot_day
2024-09-17,16.9,15.0,19.4,0.0,4.399999999999999,0,0
2024-09-18,18.1,15.6,22.8,0.0,7.200000000000001,0,0
2024-09-19,16.6,14.4,20.0,0.0,5.6,0,0
2024-09-20,16.7,15.0,20.6,0.0,5.600000000000001,0,0
2024-09-21,17.1,15.0,21.7,0.0,6.699999999999999,0,0
2024-09-22,17.1,12.8,23.9,0.0,11.099999999999998,0,0
2024-09-23,19.7,11.7,31.7,0.0,20.0,0,1
2024-09-24,20.5,15.0,28.3,0.0,13.3,0,1
2024-09-25,17.8,15.6,21.7,0.0,6.1,0,0
2024-09-26,17.7,13.9,22.8,0.0,8.9,0,0
2024-09-27,20.5,12.8,31.7,0.0,18.9,0,1
2024-09-28,17.3,15.0,20.6,0.0,5.600000000000001,0,0
2024-09-29,17.3,12.8,21.7,0.0,8.899999999999999,0,0
2024-09-30,20.5,11.7,32.2,0.0,20.500000000000004,0,1
2024-10-01,24.0,14.4,35.6,0.0,21.200000000000003,0,1
2024-10-02,25.2,15.6,36.1,0.0,20.5,0,1
2024-10-03,23.5,15.0,34.4,0.0,19.4,0,1
2024-10-04,20.9,13.9,29.4,0.0,15.499999999999998,0,1
2024-10-05,24.5,15.0,33.9,0.0,18.9,0,1
2024-10-06,26.6,17.2,37.8,0.0,20.599999999999998,0,1
2024-10-07,25.0,17.8,34.4,0.0,16.599999999999998,0,1
2024-10-08,19.7,16.1,25.0,0.0,8.899999999999999,0,0
2024-10-09,17.2,15.6,20.6,0.0,5.000000000000002,0,0
2024-10-10,16.8,12.2,21.7,0.0,9.5,0,0
2024-10-11,16.8,13.3,21.7,0.0,8.399999999999999,0,0
2024-10-12,19.3,16.1,24.4,0.0,8.299999999999997,0,0
2024-10-13,20.5,16.1,26.1,0.0,10.0,0,1
2024-10-14,17.2,15.0,20.6,0.0,5.600000000000001,0,0
2024-10-15,18.2,15.0,22.2,0.0,7.199999999999999,0,0
2024-10-16,18.0,15.0,21.1,0.0,6.100000000000001,0,0
2024-10-17,18.1,14.4,22.8,0.0,8.4,0,0
2024-10-18,19.3,12.2,25.6,0.0,13.400000000000002,0,1
2024-10-19,19.3,10.6,29.4,0.0,18.799999999999997,0,1
2024-10-20,17.7,8.9,26.1,0.0,17.200000000000003,0,1
2024-10-21,16.0,10.0,21.1,0.0,11.100000000000001,0,0
2024-10-22,15.7,10.6,20.6,0.0,10.000000000000002,0,0
2024-10-23,15.9,8.9,23.9,0.0,14.999999999999998,0,0
2024-10-24,17.1,10.0,23.9,0.0,13.899999999999999,0,0
2024-10-25,16.4,9.4,26.1,0.0,16.700000000000003,0,1
2024-10-26,15.9,8.3,25.0,0.0,16.7,0,0
2024-10-27,18.2,15.0,21.1,0.0,6.100000000000001,0,0
2024-10-28,15.9,10.6,20.0,0.0,9.4,0,0
2024-10-29,14.1,7.8,20.0,0.0,12.2,0,0
2024-10-30,14.7,11.1,18.9,0.3,7.799999999999999,1,0
2024-10-31,14.8,10.0,18.3,2.3,8.3,1,0
2024-11-01,13.7,7.8,18.9,0.3,11.099999999999998,1,0
2024-11-02,16.1,13.3,18.9,0.0,5.599999999999998,0,0
2024-11-03,16.2,8.3,23.3,0.0,15.0,0,0
2024-11-04,16.8,9.4,23.3,0.0,13.9,0,0
2024-11-05,15.5,9.4,22.8,0.0,13.4,0,0
2024-11-06,18.4,11.7,22.2,0.0,10.5,0,0
2024-11-07,15.6,10.6,22.2,0.0,11.6,0,0
2024-11-08,13.7,6.7,22.2,0.0,15.5,0,0
2024-11-09,13.2,6.1,21.1,0.0,15.000000000000002,0,0
2024-11-10,13.2,6.1,20.6,0.0,14.500000000000002,0,0
2024-11-11,14.6,11.7,16.7,6.9,5.0,1,0
2024-11-12,13.4,8.9,17.8,0.0,8.9,0,0
2024-11-13,13.3,7.2,18.3,0.0,11.100000000000001,0,0
2024-11-14,13.5,8.9,17.2,4.3,8.299999999999999,1,0
2024-11-15,12.3,7.2,16.1,0.0,8.900000000000002,0,0
2024-11-16,11.5,5.6,16.1,0.0,10.500000000000002,0,0
2024-11-17,11.5,5.6,16.1,0.0,10.500000000000002,0,0
2024-11-18,12.6,5.6,16.1,0.0,10.500000000000002,0,0
2024-11-19,10.0,4.4,15.0,0.0,10.6,0,0
2024-11-20,14.8,11.7,17.2,0.0,5.5,0,0
2024-11-21,16.5,15.0,17.8,0.8,2.8000000000000007,1,0
2024-11-22,16.2,13.3,17.8,25.1,4.5,1,0
2024-11-23,14.0,9.4,16.7,0.0,7.299999999999999,0,0
2024-11-24,12.4,6.7,17.8,0.0,11.100000000000001,0,0
2024-11-25,13.3,12.2,14.4,1.5,2.200000000000001,1,0
2024-11-26,12.6,8.3,14.4,0.5,6.1,1,0
2024-11-27,12.2,6.7,17.8,0.0,11.100000000000001,0,0
2024-11-28,10.2,5.6,16.7,0.0,11.1,0,0
2024-11-29,10.7,5.6,14.4,0.0,8.8,0,0
2024-11-30,11.5,5.6,17.8,0.0,12.200000000000001,0,0
2024-12-01,14.1,11.1,18.3,0.0,7.200000000000001,0,0
2024-12-02,13.0,7.2,18.9,0.0,11.7,0,0
2024-12-03,12.5,6.7,23.9,0.0,17.2,0,0
2024-12-04,12.1,6.7,19.4,0.0,12.7,0,0
2024-12-05,12.8,8.3,18.9,0.0,10.599999999999998,0,0
2024-12-06,12.9,6.1,19.4,0.0,13.299999999999999,0,0
2024-12-07,12.1,6.1,18.3,0.0,12.200000000000001,0,0
2024-12-08,12.4,6.1,19.4,0.0,13.299999999999999,0,0
2024-12-09,13.2,4.4,20.0,0.0,15.6,0,0
2024-12-10,11.3,5.6,16.7,0.0,11.1,0,0
2024-12-11,10.8,3.9,16.1,0.3,12.200000000000001,1,0
